district,translated_name
Düren (Landkreis),Düren (Landkreis)
Heilbronn,Heilbronn
Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge
Marzahn-Hellersdorf,Marzahn-Hellersdorf
Oberhavel,Oberhavel
Saale-Orla-Kreis,Saale-Orla-Kreis
Mettmann (Landkreis),Mettmann (Landkreis)
Rhein-Kreis Neuss,Rhein-Kreis Neuss
Oberbergischer Kreis,Oberbergischer Kreis
Zollernalbkreis,Zollernalbkreis
Ulm,Ulm
Stormarn (Landkreis),Stormarn (Landkreis)
Ammerland,Ammerland
Main-Kinzig-Kreis,Main-Kinzig-Kreis
Passau (Landkreis),Passau (Landkreis)
Tempelhof-Schöneberg,Tempelhof-Schöneberg
Neuköln,Neuköln
Rems-Murr-Kreis,Rems-Murr-Kreis
Cuxhaven (Landkreis),Cuxhaven (Landkreis)
Vorpommern-Greifswald,Vorpommern-Greifswald
Esslingen (Landkreis),Esslingen (Landkreis)
Lörrach (Landkreis),Lörrach (Landkreis)
Ostalbkreis,Ostalbkreis
Saarpfalz-Kreis,Saarpfalz-Kreis
Mainz-Bingen,Mainz-Bingen
Vorpommern-Rügen,Vorpommern-Rügen
Augsburg (Landkreis),Augsburg (Landkreis)
Lindau (Landkreis),Lindau (Landkreis)
Bodenseekreis,Bodenseekreis
Bad Dürkheim (Landkreis),Bad Dürkheim (Landkreis)
Main-Tauber-Kreis,Main-Tauber-Kreis
Stuttgart,Stuttgart
Erding (Landkreis),Erding (Landkreis)
Mecklenburgische Seenplatte (Landkreis),Mecklenburgische Seenplatte (Landkreis)
Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg
Düsseldorf,Düsseldorf
Wesel (Landkreis),Wesel (Landkreis)
Rhein-Erft-Kreis,Rhein-Erft-Kreis
Heidenheim (Landkreis),Heidenheim (Landkreis)
Sigmaringen (Landkreis),Sigmaringen (Landkreis)
Alb-Donau-Kreis,Alb-Donau-Kreis
Pankow,Pankow
Bochum,Bochum
Gütersloh (Landkreis),Gütersloh (Landkreis)
County of Bentheim (Landkreis),Bentheim (Landkreis)
Oldenburg (Landkreis),Oldenburg (Landkreis)
Leer (Landkreis),Leer (Landkreis)
Rotenburg (Landkreis),Rotenburg (Landkreis)
Miesbach (Landkreis),Miesbach (Landkreis)
Neu-Ulm (Landkreis),Neu-Ulm (Landkreis)
Erlangen-Höchstadt,Erlangen-Höchstadt
Würzburg (Landkreis),Würzburg (Landkreis)
Reinickendorf,Reinickendorf
Ravensburg (Landkreis),Ravensburg (Landkreis)
Dithmarschen,Dithmarschen
Waldeck-Frankenberg,Waldeck-Frankenberg
Neustadt (Aisch)-Bad Windsheim,Neustadt (Aisch)-Bad Windsheim
Weilheim-Schongau,Weilheim-Schongau
Oberallgäu,Oberallgäu
Amberg-Sulzbach,Amberg-Sulzbach
Mayen-Koblenz,Mayen-Koblenz
Segeberg,Segeberg
Borken (Landkreis),Borken (Landkreis)
Euskirchen (Landkreis),Euskirchen (Landkreis)
Coesfeld (Landkreis),Coesfeld (Landkreis)
Recklinghausen (Landkreis),Recklinghausen (Landkreis)
Lippe (Landkreis),Lippe (Landkreis)
Gelsenkirchen,Gelsenkirchen
Stade (Landkreis),Stade (Landkreis)
Osnabrück (Landkreis),Osnabrück (Landkreis)
Braunschweig,Braunschweig
Celle (Landkreis),Celle (Landkreis)
Wilhelmshaven,Wilhelmshaven
Delmenhorst,Delmenhorst
Bad Kissingen (Landkreis),Bad Kissingen (Landkreis)
Hohenlohe (Landkreis),Hohenlohe (Landkreis)
Rheingau-Taunus-Kreis,Rheingau-Taunus-Kreis
Vogelsbergkreis,Vogelsbergkreis
Dortmund,Dortmund
Ortenaukreis,Ortenaukreis
Calw (Landkreis),Calw (Landkreis)
Biberach (Landkreis),Biberach (Landkreis)
Neckar-Odenwald-Kreis,Neckar-Odenwald-Kreis
Pinneberg (Landkreis),Pinneberg (Landkreis)
Mainz,Mainz
Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf
Saarbrücken (Landkreis),Saarbrücken (Landkreis)
Leipzig,Leipzig
Herford (Landkreis),Herford (Landkreis)
Rhein-Sieg-Kreis,Rhein-Sieg-Kreis
Minden-Lübbecke,Minden-Lübbecke
Paderborn (Landkreis),Paderborn (Landkreis)
Warendorf (Landkreis),Warendorf (Landkreis)
Konstanz (Landkreis),Konstanz (Landkreis)
Schwarzwald-Baar-Kreis,Schwarzwald-Baar-Kreis
Enzkreis,Enzkreis
Heidelberg,Heidelberg
Bautzen (Landkreis),Bautzen (Landkreis)
Nürnberger Land,Nürnberger Land
Ingolstadt,Ingolstadt
Cham (Landkreis),Cham (Landkreis)
Regensburg (Landkreis),Regensburg (Landkreis)
Donau-Ries,Donau-Ries
Hof (Landkreis),Hof (Landkreis)
Rastatt (Landkreis),Rastatt (Landkreis)
Baden-Baden,Baden-Baden
Bitburg-Prüm,Bitburg-Prüm
Neuwied (Landkreis),Neuwied (Landkreis)
Bielefeld,Bielefeld
Remscheid,Remscheid
Steinfurt (Landkreis),Steinfurt (Landkreis)
Dresden,Dresden
Steglitz-Zehlendorf,Steglitz-Zehlendorf
Offenbach (Landkreis),Offenbach (Landkreis)
Hildesheim (Landkreis),Hildesheim (Landkreis)
Kassel (Landkreis),Kassel (Landkreis)
Augsburg,Augsburg
Dachau (Landkreis),Dachau (Landkreis)
Pfaffenhofen (Landkreis),Pfaffenhofen (Landkreis)
Garmisch-Partenkirchen (Landkreis),Garmisch-Partenkirchen (Landkreis)
Schwandorf (Landkreis),Schwandorf (Landkreis)
Dingolfing-Landau,Dingolfing-Landau
Kelheim (Landkreis),Kelheim (Landkreis)
Harburg (Landkreis),Harburg (Landkreis)
Lichtenberg,Lichtenberg
Spandau,Spandau
Hagen,Hagen
Havelland (Landkreis),Havelland (Landkreis)
Teltow-Fläming,Teltow-Fläming
Merzig-Wadern,Merzig-Wadern
Erfurt,Erfurt
Rostock (Landkreis),Rostock (Landkreis)
Fulda (Landkreis),Fulda (Landkreis)
Wiesbaden,Wiesbaden
Schwäbisch Hall (Landkreis),Schwäbisch Hall (Landkreis)
Main-Spessart,Main-Spessart
Landsberg (Landkreis),Landsberg (Landkreis)
Aichach-Friedberg,Aichach-Friedberg
Aschaffenburg (Landkreis),Aschaffenburg (Landkreis)
Plön (Landkreis),Plön (Landkreis)
Neunkirchen (German district), Neunkirchen
Bremen (state), Bremen
