Country,Date,Cases
Großbritannien,2020-01-22,0
Demokratische Republik Kongo,2020-01-22,0
Elfenbeinküste,2020-01-22,0
Jamaika,2020-01-22,0
Reunion,2020-01-22,0
Türkei,2020-01-22,0
Kuba,2020-01-22,0
Guyana,2020-01-22,0
Kasachstan,2020-01-22,0
Cayman Inseln,2020-01-22,0
Guadeloupe,2020-01-22,0
Äthiopien,2020-01-22,0
Sudan,2020-01-22,0
Guinea,2020-01-22,0
Aruba,2020-01-22,0
Kenia,2020-01-22,0
Antigua und Barbuda,2020-01-22,0
Uruguay,2020-01-22,0
Ghana,2020-01-22,0
Jersey,2020-01-22,0
Namibia,2020-01-22,0
Seychellen,2020-01-22,0
Trinidad und Tobago,2020-01-22,0
Venezuela,2020-01-22,0
Curacao,2020-01-22,0
Swasiland,2020-01-22,0
Gabun,2020-01-22,0
Guatemala,2020-01-22,0
Guernsey,2020-01-22,0
Mauretanien,2020-01-22,0
Ruanda,2020-01-22,0
Saint Lucia,2020-01-22,0
St. Vincent und die Grenadinen,2020-01-22,0
Surinam,2020-01-22,0
Palästina,2020-01-22,0
Kosovo,2020-01-22,0
Zentralafrikanische Republik,2020-01-22,0
Kongo,2020-01-22,0
Äquatorialguinea,2020-01-22,0
Usbekistan,2020-01-22,0
Thailand,2020-01-23,3
Japan,2020-01-23,1
Singapur,2020-01-23,1
Nepal,2020-01-23,0
Malaysia,2020-01-23,0
Kanada,2020-01-23,0
Australien,2020-01-23,0
Kambodscha,2020-01-23,0
Sri Lanka,2020-01-23,0
Deutschland,2020-01-23,0
Finnland,2020-01-23,0
Vereinigte Arabische Emirate,2020-01-23,0
Philippinen,2020-01-23,0
Indien,2020-01-23,0
Italien,2020-01-23,0
Schweden,2020-01-23,0
Spanien,2020-01-23,0
Belgien,2020-01-23,0
Ägypten,2020-01-23,0
Libanon,2020-01-23,0
Irak,2020-01-23,0
Oman,2020-01-23,0
Afghanistan,2020-01-23,0
Bahrain,2020-01-23,0
Kuwait,2020-01-23,0
Algerien,2020-01-23,0
Kroatien,2020-01-23,0
Schweiz,2020-01-23,0
Österreich,2020-01-23,0
Israel,2020-01-23,0
Pakistan,2020-01-23,0
Brasilien,2020-01-23,0
Georgien,2020-01-23,0
Griechenland,2020-01-23,0
Mazedonien,2020-01-23,0
Norwegen,2020-01-23,0
Rumänien,2020-01-23,0
Estland,2020-01-23,0
Niederlande,2020-01-23,0
San Marino,2020-01-23,0
Weißrussland,2020-01-23,0
Island,2020-01-23,0
Litauen,2020-01-23,0
Mexiko,2020-01-23,0
Neuseeland,2020-01-23,0
Nigeria,2020-01-23,0
Irland,2020-01-23,0
Luxemburg,2020-01-23,0
Monaco,2020-01-23,0
Katar,2020-01-23,0
Ecuador,2020-01-23,0
Aserbaidschan,2020-01-23,0
Armenien,2020-01-23,0
Dominikanische Republik,2020-01-23,0
Indonesien,2020-01-23,0
Portugal,2020-01-23,0
Andorra,2020-01-23,0
Lettland,2020-01-23,0
Marokko,2020-01-23,0
Saudi Arabien,2020-01-23,0
Senegal,2020-01-23,0
Argentinien,2020-01-23,0
Chile,2020-01-23,0
Jordanien,2020-01-23,0
Ukraine,2020-01-23,0
Ungarn,2020-01-23,0
Liechtenstein,2020-01-23,0
Polen,2020-01-23,0
Tunesien,2020-01-23,0
Bosnien und Herzegowina,2020-01-23,0
Slowenien,2020-01-23,0
Südafrika,2020-01-23,0
Bhutan,2020-01-23,0
Kamerun,2020-01-23,0
Kolumbien,2020-01-23,0
Costa Rica,2020-01-23,0
Peru,2020-01-23,0
Serbien,2020-01-23,0
Slowakei,2020-01-23,0
Togo,2020-01-23,0
Malta,2020-01-23,0
Martinique,2020-01-23,0
Bulgarien,2020-01-23,0
Malediven,2020-01-23,0
Bangladesch,2020-01-23,0
Paraguay,2020-01-23,0
Albanien,2020-01-23,0
Zypern,2020-01-23,0
Brunei Darussalam,2020-01-23,0
Vereinigte Staaten,2020-01-23,1
Burkina Faso,2020-01-23,0
Vatikanstaat,2020-01-23,0
Mongolei,2020-01-23,0
Panama,2020-01-23,0
China,2020-01-23,643
Iran,2020-01-23,0
Südkorea,2020-01-23,1
Frankreich,2020-01-23,0
NA,2020-01-23,0
Dänemark,2020-01-23,0
Tschechische Republik,2020-01-23,0
Taiwan,2020-01-23,1
Vietnam,2020-01-23,2
Russische Föderation,2020-01-23,0
Republik Moldau,2020-01-23,0
Bolivien,2020-01-23,0
Honduras,2020-01-23,0
Großbritannien,2020-01-23,0
Demokratische Republik Kongo,2020-01-23,0
Elfenbeinküste,2020-01-23,0
Jamaika,2020-01-23,0
Reunion,2020-01-23,0
Türkei,2020-01-23,0
Kuba,2020-01-23,0
Guyana,2020-01-23,0
Kasachstan,2020-01-23,0
Cayman Inseln,2020-01-23,0
Guadeloupe,2020-01-23,0
Äthiopien,2020-01-23,0
Sudan,2020-01-23,0
Guinea,2020-01-23,0
Aruba,2020-01-23,0
Kenia,2020-01-23,0
Antigua und Barbuda,2020-01-23,0
Uruguay,2020-01-23,0
Ghana,2020-01-23,0
Jersey,2020-01-23,0
Namibia,2020-01-23,0
Seychellen,2020-01-23,0
Trinidad und Tobago,2020-01-23,0
Venezuela,2020-01-23,0
Curacao,2020-01-23,0
Swasiland,2020-01-23,0
Gabun,2020-01-23,0
Guatemala,2020-01-23,0
Guernsey,2020-01-23,0
Mauretanien,2020-01-23,0
Ruanda,2020-01-23,0
Saint Lucia,2020-01-23,0
St. Vincent und die Grenadinen,2020-01-23,0
Surinam,2020-01-23,0
Palästina,2020-01-23,0
Kosovo,2020-01-23,0
Zentralafrikanische Republik,2020-01-23,0
Kongo,2020-01-23,0
Äquatorialguinea,2020-01-23,0
Usbekistan,2020-01-23,0
Thailand,2020-01-24,5
Japan,2020-01-24,2
Singapur,2020-01-24,3
Nepal,2020-01-24,0
Malaysia,2020-01-24,0
Kanada,2020-01-24,0
Australien,2020-01-24,0
Kambodscha,2020-01-24,0
Sri Lanka,2020-01-24,0
Deutschland,2020-01-24,0
Finnland,2020-01-24,0
Vereinigte Arabische Emirate,2020-01-24,0
Philippinen,2020-01-24,0
Indien,2020-01-24,0
Italien,2020-01-24,0
Schweden,2020-01-24,0
Spanien,2020-01-24,0
Belgien,2020-01-24,0
Ägypten,2020-01-24,0
Libanon,2020-01-24,0
Irak,2020-01-24,0
Oman,2020-01-24,0
Afghanistan,2020-01-24,0
Bahrain,2020-01-24,0
Kuwait,2020-01-24,0
Algerien,2020-01-24,0
Kroatien,2020-01-24,0
Schweiz,2020-01-24,0
Österreich,2020-01-24,0
Israel,2020-01-24,0
Pakistan,2020-01-24,0
Brasilien,2020-01-24,0
Georgien,2020-01-24,0
Griechenland,2020-01-24,0
Mazedonien,2020-01-24,0
Norwegen,2020-01-24,0
Rumänien,2020-01-24,0
Estland,2020-01-24,0
Niederlande,2020-01-24,0
San Marino,2020-01-24,0
Weißrussland,2020-01-24,0
Island,2020-01-24,0
Litauen,2020-01-24,0
Mexiko,2020-01-24,0
Neuseeland,2020-01-24,0
Nigeria,2020-01-24,0
Irland,2020-01-24,0
Luxemburg,2020-01-24,0
Monaco,2020-01-24,0
Katar,2020-01-24,0
Ecuador,2020-01-24,0
Aserbaidschan,2020-01-24,0
Armenien,2020-01-24,0
Dominikanische Republik,2020-01-24,0
Indonesien,2020-01-24,0
Portugal,2020-01-24,0
Andorra,2020-01-24,0
Lettland,2020-01-24,0
Marokko,2020-01-24,0
Saudi Arabien,2020-01-24,0
Senegal,2020-01-24,0
Argentinien,2020-01-24,0
Chile,2020-01-24,0
Jordanien,2020-01-24,0
Ukraine,2020-01-24,0
Ungarn,2020-01-24,0
Liechtenstein,2020-01-24,0
Polen,2020-01-24,0
Tunesien,2020-01-24,0
Bosnien und Herzegowina,2020-01-24,0
Slowenien,2020-01-24,0
Südafrika,2020-01-24,0
Bhutan,2020-01-24,0
Kamerun,2020-01-24,0
Kolumbien,2020-01-24,0
Costa Rica,2020-01-24,0
Peru,2020-01-24,0
Serbien,2020-01-24,0
Slowakei,2020-01-24,0
Togo,2020-01-24,0
Malta,2020-01-24,0
Martinique,2020-01-24,0
Bulgarien,2020-01-24,0
Malediven,2020-01-24,0
Bangladesch,2020-01-24,0
Paraguay,2020-01-24,0
Albanien,2020-01-24,0
Zypern,2020-01-24,0
Brunei Darussalam,2020-01-24,0
Vereinigte Staaten,2020-01-24,2
Burkina Faso,2020-01-24,0
Vatikanstaat,2020-01-24,0
Mongolei,2020-01-24,0
Panama,2020-01-24,0
China,2020-01-24,920
Iran,2020-01-24,0
Südkorea,2020-01-24,2
Frankreich,2020-01-24,2
NA,2020-01-24,0
Dänemark,2020-01-24,0
Tschechische Republik,2020-01-24,0
Taiwan,2020-01-24,3
Vietnam,2020-01-24,2
Russische Föderation,2020-01-24,0
Republik Moldau,2020-01-24,0
Bolivien,2020-01-24,0
Honduras,2020-01-24,0
Großbritannien,2020-01-24,0
Demokratische Republik Kongo,2020-01-24,0
Elfenbeinküste,2020-01-24,0
Jamaika,2020-01-24,0
Reunion,2020-01-24,0
Türkei,2020-01-24,0
Kuba,2020-01-24,0
Guyana,2020-01-24,0
Kasachstan,2020-01-24,0
Cayman Inseln,2020-01-24,0
Guadeloupe,2020-01-24,0
Äthiopien,2020-01-24,0
Sudan,2020-01-24,0
Guinea,2020-01-24,0
Aruba,2020-01-24,0
Kenia,2020-01-24,0
Antigua und Barbuda,2020-01-24,0
Uruguay,2020-01-24,0
Ghana,2020-01-24,0
Jersey,2020-01-24,0
Namibia,2020-01-24,0
Seychellen,2020-01-24,0
Trinidad und Tobago,2020-01-24,0
Venezuela,2020-01-24,0
Curacao,2020-01-24,0
Swasiland,2020-01-24,0
Gabun,2020-01-24,0
Guatemala,2020-01-24,0
Guernsey,2020-01-24,0
Mauretanien,2020-01-24,0
Ruanda,2020-01-24,0
Saint Lucia,2020-01-24,0
St. Vincent und die Grenadinen,2020-01-24,0
Surinam,2020-01-24,0
Palästina,2020-01-24,0
Kosovo,2020-01-24,0
Zentralafrikanische Republik,2020-01-24,0
Kongo,2020-01-24,0
Äquatorialguinea,2020-01-24,0
Usbekistan,2020-01-24,0
Thailand,2020-01-25,7
Japan,2020-01-25,2
Singapur,2020-01-25,3
Nepal,2020-01-25,1
Malaysia,2020-01-25,3
Kanada,2020-01-25,0
Australien,2020-01-25,0
Kambodscha,2020-01-25,0
Sri Lanka,2020-01-25,0
Deutschland,2020-01-25,0
Finnland,2020-01-25,0
Vereinigte Arabische Emirate,2020-01-25,0
Philippinen,2020-01-25,0
Indien,2020-01-25,0
Italien,2020-01-25,0
Schweden,2020-01-25,0
Spanien,2020-01-25,0
Belgien,2020-01-25,0
Ägypten,2020-01-25,0
Libanon,2020-01-25,0
Irak,2020-01-25,0
Oman,2020-01-25,0
Afghanistan,2020-01-25,0
Bahrain,2020-01-25,0
Kuwait,2020-01-25,0
Algerien,2020-01-25,0
Kroatien,2020-01-25,0
Schweiz,2020-01-25,0
Österreich,2020-01-25,0
Israel,2020-01-25,0
Pakistan,2020-01-25,0
Brasilien,2020-01-25,0
Georgien,2020-01-25,0
Griechenland,2020-01-25,0
Mazedonien,2020-01-25,0
Norwegen,2020-01-25,0
Rumänien,2020-01-25,0
Estland,2020-01-25,0
Niederlande,2020-01-25,0
San Marino,2020-01-25,0
Weißrussland,2020-01-25,0
Island,2020-01-25,0
Litauen,2020-01-25,0
Mexiko,2020-01-25,0
Neuseeland,2020-01-25,0
Nigeria,2020-01-25,0
Irland,2020-01-25,0
Luxemburg,2020-01-25,0
Monaco,2020-01-25,0
Katar,2020-01-25,0
Ecuador,2020-01-25,0
Aserbaidschan,2020-01-25,0
Armenien,2020-01-25,0
Dominikanische Republik,2020-01-25,0
Indonesien,2020-01-25,0
Portugal,2020-01-25,0
Andorra,2020-01-25,0
Lettland,2020-01-25,0
Marokko,2020-01-25,0
Saudi Arabien,2020-01-25,0
Senegal,2020-01-25,0
Argentinien,2020-01-25,0
Chile,2020-01-25,0
Jordanien,2020-01-25,0
Ukraine,2020-01-25,0
Ungarn,2020-01-25,0
Liechtenstein,2020-01-25,0
Polen,2020-01-25,0
Tunesien,2020-01-25,0
Bosnien und Herzegowina,2020-01-25,0
Slowenien,2020-01-25,0
Südafrika,2020-01-25,0
Bhutan,2020-01-25,0
Kamerun,2020-01-25,0
Kolumbien,2020-01-25,0
Costa Rica,2020-01-25,0
Peru,2020-01-25,0
Serbien,2020-01-25,0
Slowakei,2020-01-25,0
Togo,2020-01-25,0
Malta,2020-01-25,0
Martinique,2020-01-25,0
Bulgarien,2020-01-25,0
Malediven,2020-01-25,0
Bangladesch,2020-01-25,0
Paraguay,2020-01-25,0
Albanien,2020-01-25,0
Zypern,2020-01-25,0
Brunei Darussalam,2020-01-25,0
Vereinigte Staaten,2020-01-25,2
Burkina Faso,2020-01-25,0
Vatikanstaat,2020-01-25,0
Mongolei,2020-01-25,0
Panama,2020-01-25,0
China,2020-01-25,1406
Iran,2020-01-25,0
Südkorea,2020-01-25,2
Frankreich,2020-01-25,3
NA,2020-01-25,0
Dänemark,2020-01-25,0
Tschechische Republik,2020-01-25,0
Taiwan,2020-01-25,3
Vietnam,2020-01-25,2
Russische Föderation,2020-01-25,0
Republik Moldau,2020-01-25,0
Bolivien,2020-01-25,0
Honduras,2020-01-25,0
Großbritannien,2020-01-25,0
Demokratische Republik Kongo,2020-01-25,0
Elfenbeinküste,2020-01-25,0
Jamaika,2020-01-25,0
Reunion,2020-01-25,0
Türkei,2020-01-25,0
Kuba,2020-01-25,0
Guyana,2020-01-25,0
Kasachstan,2020-01-25,0
Cayman Inseln,2020-01-25,0
Guadeloupe,2020-01-25,0
Äthiopien,2020-01-25,0
Sudan,2020-01-25,0
Guinea,2020-01-25,0
Aruba,2020-01-25,0
Kenia,2020-01-25,0
Antigua und Barbuda,2020-01-25,0
Uruguay,2020-01-25,0
Ghana,2020-01-25,0
Jersey,2020-01-25,0
Namibia,2020-01-25,0
Seychellen,2020-01-25,0
Trinidad und Tobago,2020-01-25,0
Venezuela,2020-01-25,0
Curacao,2020-01-25,0
Swasiland,2020-01-25,0
Gabun,2020-01-25,0
Guatemala,2020-01-25,0
Guernsey,2020-01-25,0
Mauretanien,2020-01-25,0
Ruanda,2020-01-25,0
Saint Lucia,2020-01-25,0
St. Vincent und die Grenadinen,2020-01-25,0
Surinam,2020-01-25,0
Palästina,2020-01-25,0
Kosovo,2020-01-25,0
Zentralafrikanische Republik,2020-01-25,0
Kongo,2020-01-25,0
Äquatorialguinea,2020-01-25,0
Usbekistan,2020-01-25,0
Thailand,2020-01-26,8
Japan,2020-01-26,4
Singapur,2020-01-26,4
Nepal,2020-01-26,1
Malaysia,2020-01-26,4
Kanada,2020-01-26,1
Australien,2020-01-26,4
Kambodscha,2020-01-26,0
Sri Lanka,2020-01-26,0
Deutschland,2020-01-26,0
Finnland,2020-01-26,0
Vereinigte Arabische Emirate,2020-01-26,0
Philippinen,2020-01-26,0
Indien,2020-01-26,0
Italien,2020-01-26,0
Schweden,2020-01-26,0
Spanien,2020-01-26,0
Belgien,2020-01-26,0
Ägypten,2020-01-26,0
Libanon,2020-01-26,0
Irak,2020-01-26,0
Oman,2020-01-26,0
Afghanistan,2020-01-26,0
Bahrain,2020-01-26,0
Kuwait,2020-01-26,0
Algerien,2020-01-26,0
Kroatien,2020-01-26,0
Schweiz,2020-01-26,0
Österreich,2020-01-26,0
Israel,2020-01-26,0
Pakistan,2020-01-26,0
Brasilien,2020-01-26,0
Georgien,2020-01-26,0
Griechenland,2020-01-26,0
Mazedonien,2020-01-26,0
Norwegen,2020-01-26,0
Rumänien,2020-01-26,0
Estland,2020-01-26,0
Niederlande,2020-01-26,0
San Marino,2020-01-26,0
Weißrussland,2020-01-26,0
Island,2020-01-26,0
Litauen,2020-01-26,0
Mexiko,2020-01-26,0
Neuseeland,2020-01-26,0
Nigeria,2020-01-26,0
Irland,2020-01-26,0
Luxemburg,2020-01-26,0
Monaco,2020-01-26,0
Katar,2020-01-26,0
Ecuador,2020-01-26,0
Aserbaidschan,2020-01-26,0
Armenien,2020-01-26,0
Dominikanische Republik,2020-01-26,0
Indonesien,2020-01-26,0
Portugal,2020-01-26,0
Andorra,2020-01-26,0
Lettland,2020-01-26,0
Marokko,2020-01-26,0
Saudi Arabien,2020-01-26,0
Senegal,2020-01-26,0
Argentinien,2020-01-26,0
Chile,2020-01-26,0
Jordanien,2020-01-26,0
Ukraine,2020-01-26,0
Ungarn,2020-01-26,0
Liechtenstein,2020-01-26,0
Polen,2020-01-26,0
Tunesien,2020-01-26,0
Bosnien und Herzegowina,2020-01-26,0
Slowenien,2020-01-26,0
Südafrika,2020-01-26,0
Bhutan,2020-01-26,0
Kamerun,2020-01-26,0
Kolumbien,2020-01-26,0
Costa Rica,2020-01-26,0
Peru,2020-01-26,0
Serbien,2020-01-26,0
Slowakei,2020-01-26,0
Togo,2020-01-26,0
Malta,2020-01-26,0
Martinique,2020-01-26,0
Bulgarien,2020-01-26,0
Malediven,2020-01-26,0
Bangladesch,2020-01-26,0
Paraguay,2020-01-26,0
Albanien,2020-01-26,0
Zypern,2020-01-26,0
Brunei Darussalam,2020-01-26,0
Vereinigte Staaten,2020-01-26,5
Burkina Faso,2020-01-26,0
Vatikanstaat,2020-01-26,0
Mongolei,2020-01-26,0
Panama,2020-01-26,0
China,2020-01-26,2075
Iran,2020-01-26,0
Südkorea,2020-01-26,3
Frankreich,2020-01-26,3
NA,2020-01-26,0
Dänemark,2020-01-26,0
Tschechische Republik,2020-01-26,0
Taiwan,2020-01-26,4
Vietnam,2020-01-26,2
Russische Föderation,2020-01-26,0
Republik Moldau,2020-01-26,0
Bolivien,2020-01-26,0
Honduras,2020-01-26,0
Großbritannien,2020-01-26,0
Demokratische Republik Kongo,2020-01-26,0
Elfenbeinküste,2020-01-26,0
Jamaika,2020-01-26,0
Reunion,2020-01-26,0
Türkei,2020-01-26,0
Kuba,2020-01-26,0
Guyana,2020-01-26,0
Kasachstan,2020-01-26,0
Cayman Inseln,2020-01-26,0
Guadeloupe,2020-01-26,0
Äthiopien,2020-01-26,0
Sudan,2020-01-26,0
Guinea,2020-01-26,0
Aruba,2020-01-26,0
Kenia,2020-01-26,0
Antigua und Barbuda,2020-01-26,0
Uruguay,2020-01-26,0
Ghana,2020-01-26,0
Jersey,2020-01-26,0
Namibia,2020-01-26,0
Seychellen,2020-01-26,0
Trinidad und Tobago,2020-01-26,0
Venezuela,2020-01-26,0
Curacao,2020-01-26,0
Swasiland,2020-01-26,0
Gabun,2020-01-26,0
Guatemala,2020-01-26,0
Guernsey,2020-01-26,0
Mauretanien,2020-01-26,0
Ruanda,2020-01-26,0
Saint Lucia,2020-01-26,0
St. Vincent und die Grenadinen,2020-01-26,0
Surinam,2020-01-26,0
Palästina,2020-01-26,0
Kosovo,2020-01-26,0
Zentralafrikanische Republik,2020-01-26,0
Kongo,2020-01-26,0
Äquatorialguinea,2020-01-26,0
Usbekistan,2020-01-26,0
Thailand,2020-01-27,8
Japan,2020-01-27,4
Singapur,2020-01-27,5
Nepal,2020-01-27,1
Malaysia,2020-01-27,4
Kanada,2020-01-27,1
Australien,2020-01-27,5
Kambodscha,2020-01-27,1
Sri Lanka,2020-01-27,1
Deutschland,2020-01-27,1
Finnland,2020-01-27,0
Vereinigte Arabische Emirate,2020-01-27,0
Philippinen,2020-01-27,0
Indien,2020-01-27,0
Italien,2020-01-27,0
Schweden,2020-01-27,0
Spanien,2020-01-27,0
Belgien,2020-01-27,0
Ägypten,2020-01-27,0
Libanon,2020-01-27,0
Irak,2020-01-27,0
Oman,2020-01-27,0
Afghanistan,2020-01-27,0
Bahrain,2020-01-27,0
Kuwait,2020-01-27,0
Algerien,2020-01-27,0
Kroatien,2020-01-27,0
Schweiz,2020-01-27,0
Österreich,2020-01-27,0
Israel,2020-01-27,0
Pakistan,2020-01-27,0
Brasilien,2020-01-27,0
Georgien,2020-01-27,0
Griechenland,2020-01-27,0
Mazedonien,2020-01-27,0
Norwegen,2020-01-27,0
Rumänien,2020-01-27,0
Estland,2020-01-27,0
Niederlande,2020-01-27,0
San Marino,2020-01-27,0
Weißrussland,2020-01-27,0
Island,2020-01-27,0
Litauen,2020-01-27,0
Mexiko,2020-01-27,0
Neuseeland,2020-01-27,0
Nigeria,2020-01-27,0
Irland,2020-01-27,0
Luxemburg,2020-01-27,0
Monaco,2020-01-27,0
Katar,2020-01-27,0
Ecuador,2020-01-27,0
Aserbaidschan,2020-01-27,0
Armenien,2020-01-27,0
Dominikanische Republik,2020-01-27,0
Indonesien,2020-01-27,0
Portugal,2020-01-27,0
Andorra,2020-01-27,0
Lettland,2020-01-27,0
Marokko,2020-01-27,0
Saudi Arabien,2020-01-27,0
Senegal,2020-01-27,0
Argentinien,2020-01-27,0
Chile,2020-01-27,0
Jordanien,2020-01-27,0
Ukraine,2020-01-27,0
Ungarn,2020-01-27,0
Liechtenstein,2020-01-27,0
Polen,2020-01-27,0
Tunesien,2020-01-27,0
Bosnien und Herzegowina,2020-01-27,0
Slowenien,2020-01-27,0
Südafrika,2020-01-27,0
Bhutan,2020-01-27,0
Kamerun,2020-01-27,0
Kolumbien,2020-01-27,0
Costa Rica,2020-01-27,0
Peru,2020-01-27,0
Serbien,2020-01-27,0
Slowakei,2020-01-27,0
Togo,2020-01-27,0
Malta,2020-01-27,0
Martinique,2020-01-27,0
Bulgarien,2020-01-27,0
Malediven,2020-01-27,0
Bangladesch,2020-01-27,0
Paraguay,2020-01-27,0
Albanien,2020-01-27,0
Zypern,2020-01-27,0
Brunei Darussalam,2020-01-27,0
Vereinigte Staaten,2020-01-27,5
Burkina Faso,2020-01-27,0
Vatikanstaat,2020-01-27,0
Mongolei,2020-01-27,0
Panama,2020-01-27,0
China,2020-01-27,2877
Iran,2020-01-27,0
Südkorea,2020-01-27,4
Frankreich,2020-01-27,3
NA,2020-01-27,0
Dänemark,2020-01-27,0
Tschechische Republik,2020-01-27,0
Taiwan,2020-01-27,5
Vietnam,2020-01-27,2
Russische Föderation,2020-01-27,0
Republik Moldau,2020-01-27,0
Bolivien,2020-01-27,0
Honduras,2020-01-27,0
Großbritannien,2020-01-27,0
Demokratische Republik Kongo,2020-01-27,0
Elfenbeinküste,2020-01-27,0
Jamaika,2020-01-27,0
Reunion,2020-01-27,0
Türkei,2020-01-27,0
Kuba,2020-01-27,0
Guyana,2020-01-27,0
Kasachstan,2020-01-27,0
Cayman Inseln,2020-01-27,0
Guadeloupe,2020-01-27,0
Äthiopien,2020-01-27,0
Sudan,2020-01-27,0
Guinea,2020-01-27,0
Aruba,2020-01-27,0
Kenia,2020-01-27,0
Antigua und Barbuda,2020-01-27,0
Uruguay,2020-01-27,0
Ghana,2020-01-27,0
Jersey,2020-01-27,0
Namibia,2020-01-27,0
Seychellen,2020-01-27,0
Trinidad und Tobago,2020-01-27,0
Venezuela,2020-01-27,0
Curacao,2020-01-27,0
Swasiland,2020-01-27,0
Gabun,2020-01-27,0
Guatemala,2020-01-27,0
Guernsey,2020-01-27,0
Mauretanien,2020-01-27,0
Ruanda,2020-01-27,0
Saint Lucia,2020-01-27,0
St. Vincent und die Grenadinen,2020-01-27,0
Surinam,2020-01-27,0
Palästina,2020-01-27,0
Kosovo,2020-01-27,0
Zentralafrikanische Republik,2020-01-27,0
Kongo,2020-01-27,0
Äquatorialguinea,2020-01-27,0
Usbekistan,2020-01-27,0
Thailand,2020-01-28,14
Japan,2020-01-28,7
Singapur,2020-01-28,7
Nepal,2020-01-28,1
Malaysia,2020-01-28,4
Kanada,2020-01-28,2
Australien,2020-01-28,5
Kambodscha,2020-01-28,1
Sri Lanka,2020-01-28,1
Deutschland,2020-01-28,4
Finnland,2020-01-28,0
Vereinigte Arabische Emirate,2020-01-28,0
Philippinen,2020-01-28,0
Indien,2020-01-28,0
Italien,2020-01-28,0
Schweden,2020-01-28,0
Spanien,2020-01-28,0
Belgien,2020-01-28,0
Ägypten,2020-01-28,0
Libanon,2020-01-28,0
Irak,2020-01-28,0
Oman,2020-01-28,0
Afghanistan,2020-01-28,0
Bahrain,2020-01-28,0
Kuwait,2020-01-28,0
Algerien,2020-01-28,0
Kroatien,2020-01-28,0
Schweiz,2020-01-28,0
Österreich,2020-01-28,0
Israel,2020-01-28,0
Pakistan,2020-01-28,0
Brasilien,2020-01-28,0
Georgien,2020-01-28,0
Griechenland,2020-01-28,0
Mazedonien,2020-01-28,0
Norwegen,2020-01-28,0
Rumänien,2020-01-28,0
Estland,2020-01-28,0
Niederlande,2020-01-28,0
San Marino,2020-01-28,0
